,point index,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
659,747,Dessert Shop,Plaza,Food,,,,,,,
660,748,Dessert Shop,Food,Athletics & Sports,Asian Restaurant,,,,,,
661,749,Asian Restaurant,Café,,,,,,,,
662,750,Plaza,Café,,,,,,,,
663,751,Café,Plaza,,,,,,,,
664,752,Café,Plaza,Outdoors & Recreation,,,,,,,
665,753,Plaza,Outdoors & Recreation,French Restaurant,,,,,,,
666,754,Plaza,French Restaurant,Hotel,,,,,,,
667,755,French Restaurant,Plaza,Nightlife Spot,Hotel,,,,,,
668,756,Plaza,Nightlife Spot,French Restaurant,Food,,,,,,
669,757,Café,French Restaurant,,,,,,,,
670,758,French Restaurant,Plaza,Café,,,,,,,
671,759,French Restaurant,Plaza,Outdoors & Recreation,Nightlife Spot,Hotel,,,,,
672,760,French Restaurant,Hotel,Shop & Service,Italian Restaurant,Bar,Restaurant,Asian Restaurant,Outdoors & Recreation,Nightlife Spot,
673,761,French Restaurant,Bar,Hotel,Restaurant,Shop & Service,Café,Italian Restaurant,Food & Drink Shop,Food,Clothing Store
674,762,Food,French Restaurant,Clothing Store,Plaza,Bakery,Bar,Japanese Restaurant,Italian Restaurant,Hotel,Food & Drink Shop
675,763,Hotel,French Restaurant,Food,Plaza,Italian Restaurant,,,,,
676,764,French Restaurant,Dessert Shop,Bakery,Bar,Japanese Restaurant,Food,,,,
677,765,Bar,Dessert Shop,Bakery,Japanese Restaurant,French Restaurant,Food,,,,
678,766,Dessert Shop,French Restaurant,Restaurant,Food,Food & Drink Shop,Bakery,Bar,Café,Coffee Shop,Shop & Service
679,767,French Restaurant,Italian Restaurant,Hotel,Dessert Shop,Food,Food & Drink Shop,Bakery,Café,Restaurant,Shop & Service
680,768,Italian Restaurant,Restaurant,Hotel,French Restaurant,Japanese Restaurant,Food & Drink Shop,Creperie,,,
681,769,Hotel,Restaurant,Japanese Restaurant,French Restaurant,Breakfast Spot,Italian Restaurant,Café,Creperie,,
682,770,French Restaurant,Japanese Restaurant,Hotel,Food,Outdoors & Recreation,Bar,Breakfast Spot,Food & Drink Shop,Café,
683,771,Outdoors & Recreation,Bar,French Restaurant,Food & Drink Shop,,,,,,
684,772,Hotel,Athletics & Sports,Outdoors & Recreation,Bar,,,,,,
685,773,Hotel,Bar,Food & Drink Shop,Plaza,Athletics & Sports,Japanese Restaurant,,,,
686,774,Plaza,Bar,Japanese Restaurant,Hotel,Food & Drink Shop,Food,,,,
687,775,Athletics & Sports,,,,,,,,,
688,776,Nightlife Spot,,,,,,,,,
689,777,Café,,,,,,,,,
690,778,Athletics & Sports,Café,Hotel,Food & Drink Shop,,,,,,
691,779,Asian Restaurant,Hotel,Italian Restaurant,French Restaurant,Food,,,,,
692,780,Asian Restaurant,Café,Italian Restaurant,French Restaurant,Food,,,,,
693,781,Hotel,Food,Bakery,Bar,French Restaurant,Food & Drink Shop,,,,
694,782,Hotel,French Restaurant,Asian Restaurant,Japanese Restaurant,Food,Restaurant,Bakery,Bar,Café,Food & Drink Shop
695,783,Hotel,French Restaurant,Japanese Restaurant,Food & Drink Shop,Restaurant,Asian Restaurant,Bar,Café,,
696,784,Hotel,French Restaurant,Plaza,Japanese Restaurant,Food & Drink Shop,Food,Restaurant,,,
697,785,Hotel,French Restaurant,Plaza,Athletics & Sports,Food,Restaurant,,,,
698,786,French Restaurant,Japanese Restaurant,Food,Creperie,Athletics & Sports,Bar,Hotel,,,
699,787,Dessert Shop,Bar,French Restaurant,Food,,,,,,
700,788,Asian Restaurant,Italian Restaurant,Athletics & Sports,Hotel,French Restaurant,,,,,
701,789,Italian Restaurant,Asian Restaurant,Athletics & Sports,Bakery,Café,French Restaurant,,,,
702,790,French Restaurant,Shop & Service,Hotel,Bakery,Café,Dessert Shop,,,,
703,791,French Restaurant,Athletics & Sports,Japanese Restaurant,,,,,,,
704,792,French Restaurant,Japanese Restaurant,Food,Restaurant,Coffee Shop,,,,,
705,793,Hotel,French Restaurant,Food,Coffee Shop,,,,,,
706,794,Restaurant,Café,,,,,,,,
707,795,Café,Italian Restaurant,Hotel,French Restaurant,Restaurant,,,,,
708,796,French Restaurant,Outdoors & Recreation,Italian Restaurant,Hotel,Café,Restaurant,,,,
709,797,Hotel,French Restaurant,Plaza,Restaurant,,,,,,
710,798,French Restaurant,Plaza,Italian Restaurant,Hotel,,,,,,
711,800,Café,French Restaurant,,,,,,,,
712,801,Café,French Restaurant,,,,,,,,
713,802,Clothing Store,,,,,,,,,
714,803,French Restaurant,Shop & Service,Bar,,,,,,,
715,804,French Restaurant,Hotel,Bar,Shop & Service,,,,,,
716,805,Hotel,French Restaurant,Asian Restaurant,Bakery,Food,Italian Restaurant,Café,Chinese Restaurant,Food & Drink Shop,Shop & Service
717,806,Hotel,French Restaurant,Food,Asian Restaurant,Bakery,Bar,Japanese Restaurant,Food & Drink Shop,Restaurant,Chinese Restaurant
718,807,Food,Dessert Shop,Bakery,Bar,Japanese Restaurant,,,,,
719,808,Bar,Italian Restaurant,Dessert Shop,Bakery,Japanese Restaurant,Café,Food,Restaurant,,
720,809,Bar,Dessert Shop,French Restaurant,Restaurant,,,,,,
721,810,Bar,Dessert Shop,Creperie,French Restaurant,Food & Drink Shop,Restaurant,,,,
722,811,Restaurant,French Restaurant,Bar,Italian Restaurant,Creperie,Hotel,Food,,,
723,812,French Restaurant,Restaurant,Food,Dessert Shop,Plaza,Outdoors & Recreation,Bar,Italian Restaurant,Creperie,Coffee Shop
724,813,French Restaurant,Food,Italian Restaurant,Bar,Restaurant,Plaza,Outdoors & Recreation,Japanese Restaurant,Food & Drink Shop,Coffee Shop
725,814,French Restaurant,Bar,Italian Restaurant,Food,Outdoors & Recreation,Japanese Restaurant,Hotel,Food & Drink Shop,Restaurant,
726,815,Outdoors & Recreation,French Restaurant,,,,,,,,
727,816,Bar,Hotel,Food & Drink Shop,Asian Restaurant,Athletics & Sports,Japanese Restaurant,Chinese Restaurant,Food,,
728,817,Food,,,,,,,,,
729,818,Food,,,,,,,,,
730,820,Outdoors & Recreation,,,,,,,,,
731,821,Café,Italian Restaurant,French Restaurant,Creperie,,,,,,
732,822,Creperie,Café,Italian Restaurant,Hotel,French Restaurant,,,,,
733,823,Café,Hotel,,,,,,,,
734,825,Hotel,French Restaurant,Bar,Food,,,,,,
735,826,Hotel,French Restaurant,Bar,Japanese Restaurant,Café,Food,Restaurant,,,
736,827,Hotel,French Restaurant,Bar,Japanese Restaurant,Asian Restaurant,Coffee Shop,Italian Restaurant,Food & Drink Shop,Food,Café
737,828,Hotel,French Restaurant,Restaurant,Japanese Restaurant,Food,Asian Restaurant,Plaza,Italian Restaurant,Coffee Shop,
738,829,Hotel,Restaurant,Plaza,French Restaurant,Athletics & Sports,Japanese Restaurant,Food,,,
739,830,Coffee Shop,Plaza,Italian Restaurant,Hotel,French Restaurant,Food,Department Store,,,
740,831,Coffee Shop,Nightlife Spot,Food,Restaurant,Plaza,Outdoors & Recreation,Japanese Restaurant,Bakery,Creperie,French Restaurant
741,832,Asian Restaurant,Japanese Restaurant,French Restaurant,Italian Restaurant,Food,Plaza,Athletics & Sports,Hotel,Restaurant,Creperie
742,833,French Restaurant,Asian Restaurant,Food,Italian Restaurant,Japanese Restaurant,Hotel,Athletics & Sports,Bakery,Bar,Café
743,834,French Restaurant,Hotel,Café,Shop & Service,Bakery,Restaurant,Food,Food & Drink Shop,Dessert Shop,Italian Restaurant
744,835,French Restaurant,Food & Drink Shop,Japanese Restaurant,Italian Restaurant,Hotel,Café,Restaurant,,,
745,836,French Restaurant,Restaurant,Japanese Restaurant,Food,Coffee Shop,,,,,
746,837,Restaurant,Hotel,French Restaurant,Food,Coffee Shop,,,,,
747,838,Hotel,Food,,,,,,,,
748,839,French Restaurant,Hotel,Food,Restaurant,,,,,,
749,840,French Restaurant,Outdoors & Recreation,Italian Restaurant,Hotel,Café,Restaurant,,,,
750,841,French Restaurant,Plaza,Outdoors & Recreation,Italian Restaurant,Hotel,,,,,
751,842,French Restaurant,Plaza,Italian Restaurant,Hotel,,,,,,
752,843,Café,,,,,,,,,
753,844,Plaza,,,,,,,,,
754,845,Bar,Plaza,Italian Restaurant,Hotel,Food,,,,,
755,846,Clothing Store,Hotel,Bar,French Restaurant,Shop & Service,Coffee Shop,Food,Asian Restaurant,Italian Restaurant,Nightlife Spot
756,847,Clothing Store,Hotel,French Restaurant,Creperie,Bar,Nightlife Spot,Food,Coffee Shop,,
757,848,Hotel,Bar,Food & Drink Shop,Food,,,,,,
758,849,Hotel,Food,Japanese Restaurant,Food & Drink Shop,French Restaurant,Shop & Service,Café,Chinese Restaurant,Coffee Shop,Asian Restaurant
759,850,French Restaurant,Hotel,Food,Food & Drink Shop,Japanese Restaurant,Shop & Service,Bakery,Coffee Shop,Asian Restaurant,Plaza
760,851,Italian Restaurant,Hotel,Food & Drink Shop,Food,,,,,,
761,852,Hotel,Asian Restaurant,Café,Italian Restaurant,Restaurant,Food & Drink Shop,,,,
762,853,Asian Restaurant,Bar,Hotel,,,,,,,
763,854,Bar,French Restaurant,Shop & Service,Creperie,Athletics & Sports,Italian Restaurant,Food,,,
764,855,French Restaurant,Bakery,Hotel,Food,Restaurant,Creperie,Shop & Service,Athletics & Sports,Bar,Japanese Restaurant
765,856,French Restaurant,Bar,Coffee Shop,Bakery,Restaurant,Dessert Shop,Italian Restaurant,Hotel,Food,
766,857,French Restaurant,Bar,Food,Italian Restaurant,Shop & Service,Coffee Shop,Restaurant,Food & Drink Shop,Asian Restaurant,Hotel
767,858,French Restaurant,Food,Asian Restaurant,Italian Restaurant,Food & Drink Shop,Restaurant,Bakery,Bar,Hotel,
768,859,Plaza,French Restaurant,Food & Drink Shop,Food,Restaurant,,,,,
769,860,Plaza,Restaurant,,,,,,,,
770,861,Outdoors & Recreation,Food & Drink Shop,Food,,,,,,,
771,862,Athletics & Sports,,,,,,,,,
772,863,Plaza,,,,,,,,,
773,864,Plaza,Outdoors & Recreation,French Restaurant,,,,,,,
774,865,Outdoors & Recreation,Italian Restaurant,,,,,,,,
775,866,Italian Restaurant,Hotel,French Restaurant,Creperie,Restaurant,,,,,
776,867,Hotel,French Restaurant,Creperie,Japanese Restaurant,Italian Restaurant,,,,,
777,868,Food & Drink Shop,Shop & Service,Japanese Restaurant,Café,Hotel,French Restaurant,,,,
778,869,Food & Drink Shop,Hotel,French Restaurant,Shop & Service,Bakery,Café,Food,,,
779,870,Hotel,French Restaurant,Bakery,Bar,Food,,,,,
780,871,French Restaurant,Bar,Hotel,Asian Restaurant,Restaurant,,,,,
781,872,French Restaurant,Hotel,Restaurant,Asian Restaurant,Bar,Italian Restaurant,Coffee Shop,Food,Shop & Service,Japanese Restaurant
782,873,Restaurant,Hotel,Asian Restaurant,French Restaurant,Italian Restaurant,Bar,Café,Shop & Service,Japanese Restaurant,
783,874,Hotel,Restaurant,Plaza,Nightlife Spot,Japanese Restaurant,Italian Restaurant,Bar,Food,Café,
784,875,Japanese Restaurant,Food,French Restaurant,Bar,Nightlife Spot,Hotel,Food & Drink Shop,Café,Chinese Restaurant,
785,876,Japanese Restaurant,French Restaurant,Creperie,Nightlife Spot,Bar,Dessert Shop,Outdoors & Recreation,Food & Drink Shop,Café,
786,877,Japanese Restaurant,French Restaurant,Food,Bar,Bakery,Outdoors & Recreation,Nightlife Spot,Hotel,Restaurant,Creperie
787,878,French Restaurant,Food,Hotel,Asian Restaurant,Bar,Japanese Restaurant,Restaurant,,,
788,879,French Restaurant,Food,Italian Restaurant,Hotel,,,,,,
789,880,French Restaurant,Italian Restaurant,Hotel,Food & Drink Shop,Food,Bar,,,,
790,881,Shop & Service,Italian Restaurant,Clothing Store,Coffee Shop,Food & Drink Shop,Dessert Shop,French Restaurant,Food,Restaurant,Department Store
791,882,Shop & Service,Italian Restaurant,Food,Dessert Shop,Coffee Shop,Bakery,Restaurant,,,
792,883,Bakery,Food,Shop & Service,Hotel,Café,Coffee Shop,Restaurant,French Restaurant,Dessert Shop,Italian Restaurant
793,884,French Restaurant,Restaurant,Japanese Restaurant,Food,,,,,,
794,885,French Restaurant,Food,Coffee Shop,Shop & Service,Bakery,Japanese Restaurant,Italian Restaurant,Café,,
795,886,French Restaurant,Food,Coffee Shop,Hotel,Café,Shop & Service,Bakery,Outdoors & Recreation,Italian Restaurant,
796,887,French Restaurant,Plaza,Hotel,,,,,,,
797,888,Plaza,,,,,,,,,
798,889,Shop & Service,Plaza,Dessert Shop,,,,,,,
799,890,Bar,Clothing Store,Food,French Restaurant,Hotel,Shop & Service,Italian Restaurant,Asian Restaurant,Nightlife Spot,Plaza
800,891,Clothing Store,Hotel,Dessert Shop,Food,Bar,Food & Drink Shop,Shop & Service,Asian Restaurant,Nightlife Spot,
801,892,Clothing Store,Hotel,Food & Drink Shop,French Restaurant,Shop & Service,Food,Dessert Shop,,,
802,893,Hotel,French Restaurant,Food,Creperie,Shop & Service,Outdoors & Recreation,Japanese Restaurant,Italian Restaurant,Food & Drink Shop,Restaurant
803,894,Food,Hotel,Japanese Restaurant,Food & Drink Shop,Shop & Service,Plaza,Outdoors & Recreation,Bar,French Restaurant,Restaurant
804,895,French Restaurant,Hotel,Food,Coffee Shop,Plaza,Bar,Italian Restaurant,Restaurant,,
805,896,Bar,Café,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,,,,
806,897,Hotel,Asian Restaurant,Café,Italian Restaurant,French Restaurant,Food & Drink Shop,Restaurant,,,
807,898,Hotel,Asian Restaurant,French Restaurant,Café,Italian Restaurant,Food & Drink Shop,Restaurant,,,
808,899,French Restaurant,Food,Athletics & Sports,Food & Drink Shop,Japanese Restaurant,Italian Restaurant,Hotel,Shop & Service,Creperie,Asian Restaurant
809,900,Food,Bar,Asian Restaurant,French Restaurant,Japanese Restaurant,Athletics & Sports,Bakery,Coffee Shop,Creperie,Shop & Service
810,901,Food,Bakery,Bar,Asian Restaurant,Hotel,French Restaurant,Coffee Shop,,,
811,902,French Restaurant,Shop & Service,Bar,Nightlife Spot,Italian Restaurant,Hotel,Food,Restaurant,,
812,903,French Restaurant,Hotel,Restaurant,Italian Restaurant,Shop & Service,Bakery,Bar,Food,Food & Drink Shop,Asian Restaurant
813,904,Hotel,French Restaurant,Food & Drink Shop,Plaza,Bakery,Italian Restaurant,Food,Restaurant,,
814,905,Food & Drink Shop,Food,Restaurant,Plaza,Bakery,Hotel,French Restaurant,,,
815,906,Food & Drink Shop,Bakery,Food,Restaurant,,,,,,
816,907,Athletics & Sports,Hotel,,,,,,,,
817,908,Plaza,Hotel,,,,,,,,
818,909,Plaza,Athletics & Sports,,,,,,,,
819,910,Hotel,Café,French Restaurant,Food,,,,,,
820,911,Hotel,French Restaurant,Plaza,Café,Food,Restaurant,,,,
821,912,Hotel,French Restaurant,Italian Restaurant,Food,Dessert Shop,Plaza,Restaurant,,,
822,913,Japanese Restaurant,Dessert Shop,Athletics & Sports,Bar,Hotel,French Restaurant,Food,,,
823,914,Food,Japanese Restaurant,Food & Drink Shop,Shop & Service,Plaza,Athletics & Sports,Bakery,Bar,French Restaurant,
824,915,Food & Drink Shop,Food,Shop & Service,Bakery,Hotel,French Restaurant,,,,
825,916,French Restaurant,Food,,,,,,,,
826,917,French Restaurant,Food,,,,,,,,
827,918,French Restaurant,Asian Restaurant,Restaurant,Bar,Hotel,Italian Restaurant,Food,Shop & Service,Japanese Restaurant,
828,919,Hotel,Asian Restaurant,Restaurant,Bar,French Restaurant,Italian Restaurant,Food,Shop & Service,,
829,920,Asian Restaurant,Bar,Japanese Restaurant,Café,Hotel,,,,,
830,921,Dessert Shop,Food,Creperie,Asian Restaurant,,,,,,
831,922,Creperie,Restaurant,Dessert Shop,Japanese Restaurant,Food,Food & Drink Shop,Asian Restaurant,,,
832,923,Creperie,Bar,Food,Restaurant,Japanese Restaurant,Dessert Shop,Hotel,French Restaurant,Asian Restaurant,
833,924,Food,Hotel,Shop & Service,Bar,Clothing Store,Department Store,Restaurant,French Restaurant,Dessert Shop,
834,925,French Restaurant,Food,Café,Hotel,Shop & Service,Bakery,Bar,Italian Restaurant,Restaurant,Department Store
835,926,French Restaurant,Italian Restaurant,Food & Drink Shop,Food,Dessert Shop,Bakery,Bar,Café,Hotel,
836,927,Shop & Service,Hotel,Bar,Café,Department Store,Food,Food & Drink Shop,French Restaurant,Dessert Shop,
837,928,Shop & Service,Hotel,Bakery,Clothing Store,Food,Dessert Shop,Coffee Shop,French Restaurant,Plaza,Restaurant
838,929,Bakery,Shop & Service,Hotel,Restaurant,Food,French Restaurant,Dessert Shop,Italian Restaurant,Clothing Store,Plaza
839,930,Restaurant,French Restaurant,Hotel,Food,Shop & Service,Café,Food & Drink Shop,Asian Restaurant,Japanese Restaurant,
840,931,French Restaurant,Food,Asian Restaurant,Café,Coffee Shop,Bakery,Restaurant,Shop & Service,Italian Restaurant,
841,932,French Restaurant,Hotel,Café,Coffee Shop,Food,Shop & Service,Bakery,Asian Restaurant,Italian Restaurant,Plaza
842,933,French Restaurant,Hotel,Shop & Service,Plaza,Café,,,,,
843,934,Café,Dessert Shop,French Restaurant,,,,,,,
844,935,Shop & Service,Hotel,Café,French Restaurant,Dessert Shop,Nightlife Spot,Restaurant,Bar,Clothing Store,Asian Restaurant
845,936,French Restaurant,Clothing Store,Hotel,Shop & Service,Food,Bar,Restaurant,Dessert Shop,,
846,937,Clothing Store,Dessert Shop,Hotel,French Restaurant,Plaza,Food & Drink Shop,Food,,,
847,939,Hotel,French Restaurant,Food & Drink Shop,Shop & Service,Café,Coffee Shop,Creperie,Restaurant,Food,Asian Restaurant
848,940,Hotel,French Restaurant,Asian Restaurant,Restaurant,Bar,Clothing Store,Coffee Shop,Shop & Service,Italian Restaurant,Nightlife Spot
849,941,Hotel,Shop & Service,Food,Bar,Restaurant,French Restaurant,Coffee Shop,,,
850,942,Hotel,Shop & Service,Italian Restaurant,Bakery,Bar,Food,Asian Restaurant,,,
851,943,Hotel,French Restaurant,Bakery,Bar,Japanese Restaurant,Italian Restaurant,,,,
852,944,French Restaurant,Hotel,Asian Restaurant,Italian Restaurant,Restaurant,Bakery,Bar,Japanese Restaurant,,
853,945,Asian Restaurant,Hotel,Restaurant,French Restaurant,Athletics & Sports,Bar,Food,Food & Drink Shop,Shop & Service,Italian Restaurant
854,946,Bar,Asian Restaurant,French Restaurant,Restaurant,Hotel,Athletics & Sports,Food,Shop & Service,Japanese Restaurant,
855,947,Bar,Food,Asian Restaurant,Restaurant,Japanese Restaurant,French Restaurant,Food & Drink Shop,,,
856,948,Bar,Food,Breakfast Spot,Japanese Restaurant,Italian Restaurant,Food & Drink Shop,,,,
857,949,Hotel,Italian Restaurant,Bar,Breakfast Spot,French Restaurant,Food & Drink Shop,Restaurant,,,
858,950,Bar,French Restaurant,Food & Drink Shop,Japanese Restaurant,Hotel,Food,,,,
859,951,Bar,Food & Drink Shop,Food,Japanese Restaurant,Bakery,French Restaurant,,,,
860,952,Food & Drink Shop,,,,,,,,,
861,953,Japanese Restaurant,Hotel,Food & Drink Shop,,,,,,,
862,954,Japanese Restaurant,Hotel,Food & Drink Shop,,,,,,,
863,955,Athletics & Sports,,,,,,,,,
864,956,Hotel,,,,,,,,,
865,957,Plaza,French Restaurant,Café,Hotel,,,,,,
866,958,Hotel,French Restaurant,Food,Dessert Shop,Plaza,Japanese Restaurant,,,,
867,959,Japanese Restaurant,Food,Athletics & Sports,Bar,Hotel,,,,,
868,960,Food,French Restaurant,Japanese Restaurant,Plaza,Athletics & Sports,Bakery,Bar,Hotel,,
869,961,Food,Shop & Service,Italian Restaurant,Bakery,Café,Food & Drink Shop,French Restaurant,Asian Restaurant,Japanese Restaurant,Plaza
870,962,Italian Restaurant,French Restaurant,Food,,,,,,,
871,963,French Restaurant,Dessert Shop,Food,Food & Drink Shop,Athletics & Sports,Bakery,Creperie,Restaurant,Asian Restaurant,Japanese Restaurant
872,964,French Restaurant,Hotel,Bar,Food & Drink Shop,Dessert Shop,Creperie,Restaurant,Food,Asian Restaurant,Japanese Restaurant
873,965,Bar,Food,,,,,,,,
874,967,Asian Restaurant,Bar,Hotel,,,,,,,
875,968,Creperie,French Restaurant,Restaurant,Asian Restaurant,Bar,Japanese Restaurant,Café,Hotel,Food,
876,969,French Restaurant,Food,Hotel,Creperie,Asian Restaurant,Bar,Japanese Restaurant,Café,Food & Drink Shop,Restaurant
877,970,Hotel,Shop & Service,Food,Bakery,Café,Chinese Restaurant,Clothing Store,Department Store,Restaurant,Dessert Shop
878,971,Food,Japanese Restaurant,Café,Restaurant,Shop & Service,Bakery,Hotel,French Restaurant,Chinese Restaurant,
879,972,French Restaurant,Bakery,Japanese Restaurant,Italian Restaurant,Café,Shop & Service,Hotel,Food,Restaurant,
880,973,Shop & Service,Bakery,French Restaurant,Bar,Italian Restaurant,Hotel,,,,
881,974,Shop & Service,French Restaurant,Bakery,Bar,Hotel,Clothing Store,,,,
882,975,Shop & Service,Clothing Store,Hotel,Restaurant,Food & Drink Shop,French Restaurant,Dessert Shop,Plaza,,
883,976,Hotel,Café,French Restaurant,Food,Asian Restaurant,Bar,Food & Drink Shop,Restaurant,,
884,977,French Restaurant,Hotel,Bar,Food & Drink Shop,Food,Asian Restaurant,Bakery,Café,Italian Restaurant,Restaurant
885,978,French Restaurant,Shop & Service,Bakery,Bar,Café,Food,Food & Drink Shop,Asian Restaurant,Italian Restaurant,Plaza
886,979,Shop & Service,,,,,,,,,
887,981,French Restaurant,Shop & Service,Hotel,Clothing Store,Restaurant,Food,Bar,Chinese Restaurant,Dessert Shop,Japanese Restaurant
888,982,Hotel,French Restaurant,Clothing Store,Shop & Service,Bar,Food,Dessert Shop,Plaza,Japanese Restaurant,
889,983,Hotel,Bar,French Restaurant,Shop & Service,Plaza,Food & Drink Shop,Clothing Store,,,
890,984,Hotel,French Restaurant,Food & Drink Shop,Dessert Shop,Bar,Café,Food,,,
891,985,Hotel,Shop & Service,Nightlife Spot,Coffee Shop,French Restaurant,Asian Restaurant,,,,
892,986,Clothing Store,Food,Coffee Shop,Department Store,Restaurant,Hotel,Shop & Service,French Restaurant,Bar,Dessert Shop
893,987,Department Store,Food,Shop & Service,Chinese Restaurant,Clothing Store,French Restaurant,Bar,Coffee Shop,Restaurant,Dessert Shop
894,988,Hotel,Italian Restaurant,Chinese Restaurant,Shop & Service,Bakery,Food,French Restaurant,Asian Restaurant,Japanese Restaurant,
895,989,Hotel,Italian Restaurant,French Restaurant,Athletics & Sports,Bakery,Japanese Restaurant,Food,Restaurant,,
896,990,Hotel,Bakery,Bar,Japanese Restaurant,Italian Restaurant,,,,,
897,991,Hotel,Shop & Service,Japanese Restaurant,Bakery,Restaurant,French Restaurant,Asian Restaurant,,,
898,992,Bar,French Restaurant,Asian Restaurant,Restaurant,Hotel,Athletics & Sports,Creperie,Food,Shop & Service,
899,993,French Restaurant,Asian Restaurant,Bar,Athletics & Sports,Food & Drink Shop,Food,Restaurant,,,
900,994,Bar,Breakfast Spot,Japanese Restaurant,Italian Restaurant,Food & Drink Shop,Food,Restaurant,,,
901,995,Italian Restaurant,Plaza,Bar,Breakfast Spot,French Restaurant,Food & Drink Shop,,,,
902,996,Bar,Japanese Restaurant,Food,Plaza,French Restaurant,Food & Drink Shop,,,,
903,997,Japanese Restaurant,Food & Drink Shop,Bar,Food,,,,,,
904,998,Food & Drink Shop,Japanese Restaurant,Hotel,,,,,,,
905,999,Bakery,Japanese Restaurant,Hotel,French Restaurant,Food & Drink Shop,,,,,
906,1000,Café,French Restaurant,Food & Drink Shop,,,,,,,
907,1001,Hotel,Restaurant,,,,,,,,
908,1002,Hotel,Food,,,,,,,,
909,1003,Hotel,,,,,,,,,
910,1004,Hotel,Japanese Restaurant,Italian Restaurant,,,,,,,
911,1005,Hotel,Japanese Restaurant,Italian Restaurant,,,,,,,
912,1006,Japanese Restaurant,Hotel,Food & Drink Shop,,,,,,,
913,1007,Japanese Restaurant,Food & Drink Shop,Hotel,French Restaurant,Food,,,,,
914,1008,Hotel,Asian Restaurant,Japanese Restaurant,Café,Food,Food & Drink Shop,French Restaurant,Shop & Service,Italian Restaurant,
915,1009,Shop & Service,Hotel,Asian Restaurant,Athletics & Sports,Italian Restaurant,Food & Drink Shop,Food,Café,,
916,1010,Bakery,French Restaurant,Dessert Shop,Hotel,Food,Athletics & Sports,Bar,Café,Creperie,Restaurant
917,1011,French Restaurant,Food & Drink Shop,Bakery,Restaurant,Food,Hotel,Dessert Shop,Café,Creperie,Asian Restaurant
918,1012,Hotel,French Restaurant,,,,,,,,
919,1013,Hotel,Athletics & Sports,Outdoors & Recreation,Café,French Restaurant,Food,,,,
920,1014,Hotel,French Restaurant,Italian Restaurant,Café,Food,Asian Restaurant,Athletics & Sports,Outdoors & Recreation,Restaurant,
921,1015,French Restaurant,Hotel,Food,Restaurant,Café,Asian Restaurant,Bar,Japanese Restaurant,Italian Restaurant,Food & Drink Shop
922,1016,French Restaurant,Hotel,Food,Bakery,Shop & Service,Creperie,Restaurant,Food & Drink Shop,Dessert Shop,Japanese Restaurant
923,1017,French Restaurant,Bakery,Food,Shop & Service,Hotel,Café,Dessert Shop,,,
924,1018,Food,Bakery,Café,French Restaurant,Dessert Shop,Japanese Restaurant,Hotel,Restaurant,,
925,1019,Bakery,Shop & Service,Hotel,Café,Restaurant,Food,Clothing Store,French Restaurant,Dessert Shop,Japanese Restaurant
926,1020,Clothing Store,Café,Shop & Service,Hotel,Food,French Restaurant,Dessert Shop,Italian Restaurant,Bakery,Bar
927,1021,Clothing Store,French Restaurant,Italian Restaurant,Japanese Restaurant,Restaurant,Shop & Service,Bakery,Café,Chinese Restaurant,Dessert Shop
928,1022,Italian Restaurant,Shop & Service,Clothing Store,Restaurant,Café,Food,French Restaurant,Asian Restaurant,Japanese Restaurant,
929,1023,Hotel,Café,Shop & Service,Italian Restaurant,French Restaurant,Food,Restaurant,,,
930,1024,French Restaurant,Hotel,Shop & Service,Bakery,Bar,Italian Restaurant,Food & Drink Shop,Food,Clothing Store,
931,1025,French Restaurant,Bar,Italian Restaurant,Hotel,,,,,,
932,1027,Hotel,French Restaurant,Dessert Shop,Plaza,Café,Coffee Shop,,,,
933,1028,Shop & Service,Japanese Restaurant,French Restaurant,Hotel,Clothing Store,Dessert Shop,Coffee Shop,Plaza,Bar,Food
934,1029,Clothing Store,French Restaurant,Shop & Service,Japanese Restaurant,Hotel,Bar,Restaurant,Dessert Shop,Plaza,
935,1030,Hotel,French Restaurant,Shop & Service,Bar,Plaza,Clothing Store,Restaurant,,,
936,1031,Bar,Hotel,French Restaurant,Shop & Service,Plaza,Food,Clothing Store,,,
937,1032,Hotel,French Restaurant,Coffee Shop,Shop & Service,Plaza,Bar,Food & Drink Shop,Food,Clothing Store,
938,1033,Clothing Store,Shop & Service,Dessert Shop,Department Store,Food & Drink Shop,Italian Restaurant,French Restaurant,Food,Outdoors & Recreation,Coffee Shop
939,1034,Food,Clothing Store,Italian Restaurant,Chinese Restaurant,Shop & Service,Café,Coffee Shop,Department Store,Restaurant,Asian Restaurant
940,1035,Food,Italian Restaurant,French Restaurant,Athletics & Sports,Café,Chinese Restaurant,Restaurant,Coffee Shop,,
941,1036,Food,Athletics & Sports,Italian Restaurant,Hotel,Bar,Café,French Restaurant,,,
942,1037,Hotel,Bar,Japanese Restaurant,Italian Restaurant,,,,,,
943,1038,Bar,Hotel,Japanese Restaurant,Italian Restaurant,Food,,,,,
944,1039,Bar,Plaza,Athletics & Sports,Italian Restaurant,Hotel,French Restaurant,Food,Restaurant,Creperie,
